ville,codePostal,region,praticienne,adresseLigne1,adresseLigne2,telephone,telephoneAffiche,email,doctolibUrl,horaire1Jours,horaire1Heures,horaire2Jours,horaire2Heures,horaire3Jours,horaire3Heures,horaire4Jours,horaire4Heures
Sin-le-Noble,59450,Hauts-de-France,Florence Allexandre ,413 Av. de la Liberté,59450 Sin-le-Noble,806110504,0 806 11 05 04,sin-le-noble-59@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/sin-le-noble/relais-vision-sin-le-noble,,,,,,,,
Berck,62600,Hauts-de-France,Marie Perwez / Pauline Roussel,3 Avenue Du 8 Mai 1945,62600 Berck,806110504,0 806 11 05 04,berck-62@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/berck/relais-vision-berck,,,,,,,,
Boulazac,24750,Nouvelle-Aquitaine,Djoha Kihal,1 Rue de Soci,24750 Boulazac,806110504,0 806 11 05 04,boulazac-24@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/boulazac/relais-vision-boulazac,,,,,,,,
L'Isle-d'Abeau,38080,Auvergne-Rhône-Alpes,Yannick Dhien ,1 Rue de l'Hôtel de ville,38080 L'Isle-d'Abeau,806110504,0 806 11 05 04,l-isle-d-abeau-38@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/l-isle-d-abeau/relais-vision-l-isle-d-abeau,,,,,,,,
Saint-Didier-au-Mont-d'Or,69370,Auvergne-Rhône-Alpes,Quitterie Vaganay ,6 Rue du Vallon d'Or,69370 Saint-Didier-au-Mont-d'Or,806110504,0 806 11 05 04,saint-didier-au-mont-dor-69@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/saint-didier-au-mont-dor/relais-vision-saint-didier-au-mont-dor,,,,,,,,
Les Sables-d'Olonne,85100,Pays de la Loire,Aurélie Patouret ,1 Rue Louis Braille,85100 Les Sables-d'Olonne,806110504,0 806 11 05 04,les-sables-d-olonne-85@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/les-sables-d-olonne/relais-vision-les-sables-d-olonne,,,,,,,,
Ernée,53500,Pays de la Loire,Pauline Chrétien ,24 Avenue De Paris,53500 Ernée,806110504,0 806 11 05 04,ernee-53@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/ernee/relais-vision-ernee,,,,,,,,
Saint-Sever,40500,Nouvelle-Aquitaine,Aurélien Le Galliard ,3 Rue De La Guillerie,40500 Saint-Sever,806110504,0 806 11 05 04,saint-sever-40@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/saint-sever/relais-vision-saint-sever,,,,,,,,
Aire-sur-la-Lys,62120,Hauts-de-France,Cécile Monvoisin ,307 Route De Roquetoire,62120 Aire-sur-la-Lys,806110504,0 806 11 05 04,aire-sur-la-lys-62@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/aire-sur-la-lys/relais-vision-aire-sur-la-lys,,,,,,,,
Bruyères,88600,Grand Est,Laura Formisi ,8 Rue de Gérardmer,88600 Bruyères,806110504,0 806 11 05 04,bruyeres-88@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/bruyeres/relais-vision-bruyeres,,,,,,,,
Vonnas,1540,Auvergne-Rhône-Alpes,Lysiane Rat ,107 Rue du 19 Mars 1962,01540 Vonnas,806110504,0 806 11 05 04,vonnas-01@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/vonnas/relais-vision-vonnas,,,,,,,,
Beynat,19190,Nouvelle-Aquitaine,Beranger-Lagardère Julie ,1 Rue des Lucioles,19190 Beynat,806110504,0 806 11 05 04,beynat-19@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/beynat/relais-vision-beynat,,,,,,,,
Burlats,81100,Occitanie,Charlotte Membrives ,27 Avenue Du Sidobre,81100 Burlats,806110504,0 806 11 05 04,burlats-81@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/burlats/relais-vision-burlats,,,,,,,,
Auray,56400,Bretagne,Mathieu Combellas ,2 Rue de Suède,56400 Auray,806110504,0 806 11 05 04,auray-56@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/auray/relais-vision-auray,,,,,,,,
Cateau-Cambrésis,59360,Hauts-de-France,Alicia Loncle ,28 Boulevard Paturle,59360 Cateau-Cambrésis,806110504,0 806 11 05 04,cateau-cambresis-59@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/cateau-cambresis/relais-vision-cateau-cambresis,,,,,,,,
Tonnerre,89700,Bourgogne-Franche-Comté,Ibtissame Youssouf Said ,Chemin Des Jumeriaux,89700 Tonnerre,806110504,0 806 11 05 04,tonnerre-89@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/tonnerre/relais-vision-tonnerre,,,,,,,,
Orchies,59310,Hauts-de-France,Maxime Jakubowicz ,16 Avenue De La Libération,59310 Orchies,806110504,0 806 11 05 04,orchies-59@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/orchies/relais-vision-orchies,,,,,,,,
Saint-Pol-sur-Ternoise,62130,Hauts-de-France,Jeanne Laforce ,176 Rue D'hesdin,62130 Saint-Pol-sur-Ternoise,806110504,0 806 11 05 04,saint-pol-sur-ternoise-62@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/saint-pol-sur-ternoise/relais-vision-saint-pol-sur-ternoise,,,,,,,,
Athée-sur-Cher,37270,Centre-Val de Loire,relais-vision.fr/cabinets/athee-sur-cher,7 Rue De L'égalité,37270 Athée-sur-Cher,806110504,0 806 11 05 04,athee-sur-cher-37@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/athee-sur-cher/relais-vision-athee-sur-cher,,,,,,,,
Eperlecques,62910,Hauts-de-France,relais-vision.fr/cabinets/eperlecques,18 Rue De Bleue-Maison,62910 Eperlecques,806110504,0 806 11 05 04,eperlecques-62@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/eperlecques/relais-vision-eperlecques,,,,,,,,
Le Havre,76600,Normandie,relais-vision.fr/cabinets/le-havre,55b Rue Gustave Flaubert,76600 Le Havre,806110504,0 806 11 05 04,le-havre-76@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/le-havre/relais-vision-le-havre,,,,,,,,
Pélissanne,13330,Provence-Alpes-Côte d'Azur,relais-vision.fr/cabinets/pelissanne,4 Route De Saint Cannat,13330 Pélissanne,806110504,0 806 11 05 04,pelissanne-13@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/pelissanne/relais-vision-pelissanne,,,,,,,,
Cuinchy,62149,Hauts-de-France,relais-vision.fr/cabinets/cuinchy,28 Rue Jean-Jaurès,62149 Cuinchy,806110504,0 806 11 05 04,cuinchy-62@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/cuinchy/relais-vision-cuinchy,,,,,,,,
Orthez,64300,Nouvelle-Aquitaine,relais-vision.fr/cabinets/orthez,2b Avenue Du Président Kennedy,64300 Orthez,806110504,0 806 11 05 04,orthez-64@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/orthez/relais-vision-orthez,,,,,,,,
Martres-de-Veyre,63730,Auvergne-Rhône-Alpes,relais-vision.fr/cabinets/martres-de-veyre,20 Rue Du Grand Clos,63730 Martres-de-Veyre,806110504,0 806 11 05 04,martres-de-veyre-63@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/martres-de-veyre/relais-vision-martres-de-veyre,,,,,,,,
Soubise,17780,Nouvelle-Aquitaine,relais-vision.fr/cabinets/soubise,10 Avenue Charles De Gaulle,17780 Soubise,806110504,0 806 11 05 04,soubise-17@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/soubise/relais-vision-soubise,,,,,,,,
La Rivière-Saint-Louis,97450,La Réunion,relais-vision.fr/cabinets/la-riviere-saint-louis,125 Route De Cilaos,97450 La Rivière-Saint-Louis,806110504,0 806 11 05 04,la-riviere-saint-louis-974@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/la-riviere-saint-louis/relais-vision-la-riviere-saint-louis,,,,,,,,
Aix-Noulette,62160,Hauts-de-France,relais-vision.fr/cabinets/aix-noulette,22 Rue Piltepois,62160 Aix-Noulette,806110504,0 806 11 05 04,aix-noulette-62@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/aix-noulette/relais-vision-aix-noulette,,,,,,,,
Guidel,56520,Bretagne,relais-vision.fr/cabinets/guidel,31 Place Louis Le Montagner,56520 Guidel,806110504,0 806 11 05 04,guidel-56@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/guidel/relais-vision-guidel,,,,,,,,
Crépy-en-Valois,60800,Hauts-de-France,relais-vision.fr/cabinets/crepy-en-valois,Rue Tassart,60800 Crépy-en-Valois,806110504,0 806 11 05 04,crepy-en-valois-60@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/crepy-en-valois/relais-vision-crepy-en-valois,,,,,,,,
Cambrai,59400,Hauts-de-France,relais-vision.fr/cabinets/cambrai,39 Rue Des Chaudronniers,59400 Cambrai,806110504,0 806 11 05 04,cambrai-59@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/cambrai/relais-vision-cambrai,,,,,,,,
Revel,31250,Occitanie,relais-vision.fr/cabinets/revel,20 Rue Clémence Isaure,31250 Revel,806110504,0 806 11 05 04,revel-31@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/revel/relais-vision-revel,,,,,,,,
Vieux-Berquin,59232,Hauts-de-France,relais-vision.fr/cabinets/vieux-berquin,212 Zone Artisanale Des Champs De La Couronne,59232 Vieux-Berquin,806110504,0 806 11 05 04,vieux-berquin-59@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/vieux-berquin/relais-vision-vieux-berquin,,,,,,,,
Noyelles-Godault,62950,Hauts-de-France,relais-vision.fr/cabinets/noyelles-godault,7 Rue Anne Frank,62950 Noyelles-Godault,806110504,0 806 11 05 04,noyelles-godault-62@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/noyelles-godault/relais-vision-noyelles-godault,,,,,,,,
Angoulême,16000,Nouvelle-Aquitaine,relais-vision.fr/cabinets/angouleme,89 Rue De Paris,16000 Angoulême,806110504,0 806 11 05 04,angouleme-16@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/angouleme/relais-vision-angouleme,,,,,,,,
Tassin-la-Demi-Lune,69160,Auvergne-Rhône-Alpes,relais-vision.fr/cabinets/tassin-la-demi-lune,14 Rue Du Professeur Depéret,69160 Tassin-la-Demi-Lune,806110504,0 806 11 05 04,tassin-la-demi-lune-69@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/tassin-la-demi-lune/relais-vision-tassin-la-demi-lune,,,,,,,,
Le Bosc-du-Theil,27310,Normandie,relais-vision.fr/cabinets/le-bosc-du-theil,3 Place De L'église,27310 Le Bosc-du-Theil,806110504,0 806 11 05 04,le-bosc-du-theil-27@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/le-bosc-du-theil/relais-vision-le-bosc-du-theil,,,,,,,,
Montbéliard,25200,Bourgogne-Franche-Comté,relais-vision.fr/cabinets/montbeliard,Rue André Boulloche,25200 Montbéliard,806110504,0 806 11 05 04,montbeliard-25@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/montbeliard/relais-vision-montbeliard,,,,,,,,
Romans-sur-Isère,26100,Auvergne-Rhône-Alpes,relais-vision.fr/cabinets/romans-sur-isere,5 Rue Germain Martin,26100 Romans-sur-Isère,806110504,0 806 11 05 04,romans-sur-isere-26@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/romans-sur-isere/relais-vision-romans-sur-isere,,,,,,,,
Cahors,46000,Occitanie,relais-vision.fr/cabinets/cahors,350 Route De Cahors,46000 Cahors,806110504,0 806 11 05 04,cahors-46@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/cahors/relais-vision-cahors,,,,,,,,
Beaune,21200,Bourgogne-Franche-Comté,relais-vision.fr/cabinets/beaune,1 Route De Verdun,21200 Beaune,806110504,0 806 11 05 04,beaune-21@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/beaune/relais-vision-beaune,,,,,,,,
Plouarzel,29810,Bretagne,relais-vision.fr/cabinets/plouarzel,Rue De Prat Arzel,29810 Plouarzel,806110504,0 806 11 05 04,plouarzel-29@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/plouarzel/relais-vision-plouarzel,,,,,,,,
Noeux-les-Mines,62290,Hauts-de-France,relais-vision.fr/cabinets/noeux-les-mines,89 Rue Nationale,62290 Noeux-les-Mines,806110504,0 806 11 05 04,noeux-les-mines-62@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/noeux-les-mines/relais-vision-noeux-les-mines,,,,,,,,
Bayon,54290,Grand Est,relais-vision.fr/cabinets/bayon,4 Rue De Maizerai,54290 Bayon,806110504,0 806 11 05 04,bayon-54@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/bayon/relais-vision-bayon,,,,,,,,
Lesparre,33340,Nouvelle-Aquitaine,relais-vision.fr/cabinets/lesparre,5 Place Gambetta,33340 Lesparre,806110504,0 806 11 05 04,lesparre-33@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/lesparre/relais-vision-lesparre,,,,,,,,
Boulogne-sur-Mer,62200,Hauts-de-France,relais-vision.fr/cabinets/boulogne-sur-mer,12 Rue Haffreingue,62200 Boulogne-sur-Mer,806110504,0 806 11 05 04,boulogne-sur-mer-62@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/boulogne-sur-mer/relais-vision-boulogne-sur-mer,,,,,,,,
Dieppe,76200,Normandie,relais-vision.fr/cabinets/dieppe,9 Rue De L'ancien Port,76200 Dieppe,806110504,0 806 11 05 04,dieppe-76@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/dieppe/relais-vision-dieppe,,,,,,,,
Pessac,33600,Nouvelle-Aquitaine,relais-vision.fr/cabinets/pessac,88 Avenue Pasteur,33600 Pessac,806110504,0 806 11 05 04,pessac-33@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/pessac/relais-vision-pessac,,,,,,,,
Pont-l'Evêque,14130,Normandie,relais-vision.fr/cabinets/pont-leveque,7 Rue Ménars,14130 Pont-l'Evêque,806110504,0 806 11 05 04,pont-leveque-14@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/pont-leveque/relais-vision-pont-leveque,,,,,,,,
Verfeil,31590,Occitanie,relais-vision.fr/cabinets/verfeil,23 Avenue Grand Faubourg,31590 Verfeil,806110504,0 806 11 05 04,verfeil-31@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/verfeil/relais-vision-verfeil,,,,,,,,
Wavrin,59136,Hauts-de-France,relais-vision.fr/cabinets/wavrin,18 Rue Léon Gambetta,59136 Wavrin,806110504,0 806 11 05 04,wavrin-59@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/wavrin/relais-vision-wavrin,,,,,,,,
Nogaro,32110,Occitanie,relais-vision.fr/cabinets/nogaro,14 Rue De La Poste,32110 Nogaro,806110504,0 806 11 05 04,nogaro-32@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/nogaro/relais-vision-nogaro,,,,,,,,
Izon,33450,Nouvelle-Aquitaine,relais-vision.fr/cabinets/izon,14b Rue Des Écoles,33450 Izon,806110504,0 806 11 05 04,izon-33@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/izon/relais-vision-izon,,,,,,,,
Marly,57155,Grand Est,relais-vision.fr/cabinets/marly,79 Rue De La Gare,57155 Marly,806110504,0 806 11 05 04,marly-57@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/marly/relais-vision-marly,,,,,,,,
La Chapelle-des-Marais,44410,Pays de la Loire,relais-vision.fr/cabinets/la-chapelle-des-marais,1 Allée Des Roseaux,44410 La Chapelle-des-Marais,806110504,0 806 11 05 04,la-chapelle-des-marais-44@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/la-chapelle-des-marais/relais-vision-la-chapelle-des-marais,,,,,,,,
Nouzilly,37380,Centre-Val de Loire,Mathilde Dehaudt ,19 Rue Paul Boivinet,37380 Nouzilly,806110504,0 806 11 05 04,nouzilly-37@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/nouzilly/relais-vision-nouzilly,,,,,,,,
Isneauville,76230,Normandie,Corentin Frété ,239 Rue Du Mont Perreux,76230 Isneauville,806110504,0 806 11 05 04,isneauville-76@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/isneauville/relais-vision-isneauville,,,,,,,,
Halluin,59250,Hauts-de-France,Katy Pirog ,7 Chemin De Tournai,59250 Halluin,806110504,0 806 11 05 04,halluin-59@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/halluin/relais-vision-halluin,,,,,,,,
Raismes,59590,Hauts-de-France,Lilas Breda ,40 Rue Du Mont De Sable,59590 Raismes,806110504,0 806 11 05 04,raismes-59@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/raismes/relais-vision-raismes,,,,,,,,
Thionville,57100,Grand Est,Anne Feldmann ,10 Rue Saint-Nicolas,57100 Thionville,806110504,0 806 11 05 04,thionville-57@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/thionville/relais-vision-thionville,,,,,,,,
Canéjan,33610,Nouvelle-Aquitaine,Adeline Le Roux ,26 Chemin Salvador Allende,33610 Canéjan,806110504,0 806 11 05 04,canejan-33@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/canejan/relais-vision-canejan,,,,,,,,
